_RAJ2000|_DEJ2000|Name|Morph|LAS|RAJ2000|DEJ2000|z|BA|CBA|EBA|Asym
deg|deg| | |arcmin|deg|deg| |deg|deg|deg|
-----------|-----------|----------------|-|------|---------|---------|-------|-----|-----|-----|-----
233.3065300|+05.9104000|J153313.5+055437|2| 0.371|233.30653|+05.91040| 0.3742|  6.1|  3.6| -6.4| 0.85
233.3137100|+31.1308900|J153315.2+310751|2| 0.799|233.31371|+31.13089| 0.0667| 43.6| 45.5| 44.6| 0.65
233.4121200|+08.1393900|J153338.9+080821|2| 0.722|233.41212|+08.13939| 0.6174|  0.8|  0.8| -7.3| 1.06
233.4775000|+32.3634300|J153354.5+322148|2| 0.552|233.47750|+32.36343| 0.3596|  2.6|  2.0| -7.0| 0.95
233.5044700|+13.0774300|J153401.0+130439|2| 0.460|233.50447|+13.07743| 0.6018| 31.9| 21.2| 19.8| 0.90
233.5259200|+39.2426200|J153406.2+391433|2| 1.009|233.52592|+39.24262| 0.5619|  5.0|  6.8| -2.6| 0.97
233.5892900|+33.5766400|J153421.4+333436|2| 0.928|233.58929|+33.57664| 0.2099|  0.5|  0.6| -7.3| 2.15
233.6576200|+57.6476100|J153438.0+573851|2| 0.408|233.65762|+57.64761| 0.5921| 11.1|  6.9| -2.5| 0.66
233.6962100|+07.7898100|J153447.0+074724|2| 0.354|233.69621|+07.78981| 0.2430| 46.7| 26.9| 25.9| 0.76
233.7095400|+35.3810600|J153450.3+352251|2| 0.496|233.70954|+35.38106| 0.3398| 27.7| 19.3| 17.8| 1.09
