FCG|RAJ2000|DEJ2000|Size|RAc|DEc|Group|Com|Tno
 |"h:m:s"|"d:m:s"|arcmin|"h:m:s"|"d:m:s"| | |
----------------|------------|------------|-----|------------|------------|------|------------------------------------------------------------------------------------------------------------------------|--
J125138.0+280633|12 51 38.016|+28 06 33.76| 1.11|            |            |377024|mg quad wat? unu                                                                                                        |13
J133018.3+463651|13 30 18.346|+46 36 51.07| 1.76|            |            |419571|quad t+s                                                                                                                |13
J133117.7+340551|13 31 17.762|+34 05 51.86| 1.31|            |            |420665|quad d+d? t+s?                                                                                                          |13
J133939.2-030130|13 39 39.239|-03 01 30.08| 1.05|            |            |429890|quad d+d                                                                                                                |13
J141900.7+325215|14 19 00.731|+32 52 15.04| 1.82|            |            |473537|quad d+d arc                                                                                                            |13
J142157.2+101100|14 21 57.231|+10 11 00.50| 1.46|            |            |476833|quad d+d?                                                                                                               |13
J144216.4+164024|14 42 16.467|+16 40 24.46| 1.87|            |            |499363|mg d+d sz?? quad                                                                                                        |13
J144335.8+243410|14 43 35.803|+24 34 10.78| 2.13|            |            |500887|mg d+d? quad sz?                                                                                                        |13
J150232.3+333623|15 02 32.372|+33 36 23.70| 2.40|            |            |522065|sz? quad                                                                                                                |13
J151033.1+184435|15 10 33.144|+18 44 35.73| 0.66|            |            |530996|mg dd? quad d+d sz? arc?                                                                                                |13
J151250.5-074249|15 12 50.571|-07 42 49.69| 2.15|            |            |533425|mg d+d tb+s? quad?                                                                                                      |13
J152859.8+005455|15 28 59.801|+00 54 55.65| 0.65|            |            |551343|mg quad nat? dd? d+d?, may be larger                                                                                    |13
J153758.2+074553|15 37 58.297|+07 45 53.78| 1.15|            |            |561209|quad d+d?                                                                                                               |13
J155000.1-043659|15 50 00.164|-04 36 59.89| 2.26|            |            |574168|sz? d+d? dd? quad                                                                                                       |13
J155939.7+633828|15 59 39.740|+63 38 28.19| 2.08|            |            |584051|mg tri? quad                                                                                                            |13
J160136.6+171334|16 01 36.639|+17 13 34.37| 2.15|            |            |586102|a quad?                                                                                                                 |13
J160632.7+122402|16 06 32.740|+12 24 02.24| 1.96|            |            |591049|mg arc? d+d? quad, may be larger                                                                                        |13
J161758.2+233704|16 17 58.283|+23 37 04.35| 1.08|            |            |601924|mg d+d quad                                                                                                             |13
J163917.9+125508|16 39 17.915|+12 55 08.82| 0.59|            |            |620677|mg d+d quad                                                                                                             |13
J164230.1+114831|16 42 30.120|+11 48 31.10| 1.60|            |            |623305|mg quint unu configuration                                                                                              |13
J164844.8+154743|16 48 44.812|+15 47 43.87| 0.80|            |            |627925|mg sz? ring? quad unu                                                                                                   |13
J170121.4+531537|17 01 21.424|+53 15 37.48| 1.15|            |            |636927|mg quad d+?                                                                                                             |13
J173540.4+474421|17 35 40.400|+47 44 21.53| 1.14|            |            |654429|mg quad d+d?                                                                                                            |13
J214936.3-083046|21 49 36.373|-08 30 46.58| 0.97|            |            |660415|d+d? quad                                                                                                               |13
J004820.7-021311|00 48 20.747|-02 13 11.21| 1.30|            |            |006055|t lobe with fan dl? x?                                                                                                  |14
J005604.5-021744|00 56 04.599|-02 17 44.25| 2.31|            |            |007003|mg sz? rc                                                                                                               |14
J011341.1+010609|01 13 41.119|+01 06 09.19| 2.74|            |            |009090|x? sz? dl?                                                                                                              |14
J013715.1-091155|01 37 15.175|-09 11 55.76| 0.68|            |            |011996|rc? lobe? arc? beads                                                                                                    |14
J014519.7-015951|01 45 19.751|-01 59 51.82| 0.78|            |            |012983|sz x? hook pretzel                                                                                                      |14
J015727.6-092745|01 57 27.659|-09 27 45.96| 1.74|            |            |014393|nat arc ring??                                                                                                          |14
J023216.4-003305|02 32 16.464|-00 33 05.32| 0.41|            |            |020847|nat? bifurcation core id ambiguous                                                                                      |14
J070644.5+423118|07 06 44.539|+42 31 18.88| 2.45|            |            |028144|wat? sz? irr linking group= 028148                                                                                      |14
J071857.2+504115|07 18 57.209|+50 41 15.56| 1.68|            |            |033150|mg d+d? sz? nat?? unu                                                                                                   |14
J072115.0+531406|07 21 15.047|+53 14 06.39| 0.81|            |            |034481|wat?? unu                                                                                                               |14
J072241.8+235432|07 22 41.829|+23 54 32.64| 0.78|            |            |035380|mg irr nat? x? hot spots in lobe of large d?                                                                            |14
J072248.1+252832|07 22 48.104|+25 28 32.49| 0.94|            |            |035450|rc low level dd? x? unu bifurcation?                                                                                    |14
J073827.0+241455|07 38 27.083|+24 14 55.37| 1.16|            |            |045165|mg x? arc unu                                                                                                           |14
J074117.3+451521|07 41 17.309|+45 15 21.94| 0.27|            |            |047092|nat? quad                                                                                                               |14
J074541.6+314256|07 45 41.662|+31 42 56.56| 2.21|            |            |050342|t irr core id ambiguous                                                                                                 |14
J075241.4+455628|07 52 41.456|+45 56 28.51| 2.45|            |            |055632|mg wat? nat? dd? td? core id ambiguous unu beads linking grp= 055593                                                    |14
J080534.2+241003|08 05 34.232|+24 10 03.68| 2.90|            |            |065951|mg 3C 192 linking group= 066081                                                                                         |14
